ticker,sector,category,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,dp_pct_cv,avg_block_count,avg_pcr,avg_combined_score
CLS,Technology,C,9,0,0.00,9,1.00,0.00,0.00,0.0,1.086,84.7
CLX,Consumer Defensive,C,6,0,0.00,6,1.00,0.00,0.00,0.0,0.581,78.4
CM,Financial Services,C,8,0,0.00,8,1.00,0.00,0.00,0.0,1.758,74.2
CMBT,Industrials,C,10,0,0.00,10,1.00,0.00,0.00,0.0,0.183,84.2
CMC,Basic Materials,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.244,73.8
CMCSA,Communication Services,C,2,1,0.50,2,1.00,0.38,0.00,0.0,0.442,110.0
CME,Financial Services,C,15,0,0.00,15,1.00,0.00,0.00,0.0,0.433,79.8
CMI,Industrials,C,9,0,0.00,9,1.00,0.00,0.00,0.0,0.320,85.8
CMPO,Industrials,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.087,82.0
CMRE,Industrials,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.720,75.0
CMS,Utilities,C,21,0,0.00,21,1.00,0.00,0.00,0.0,0.057,82.0
CNA,Financial Services,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.775,79.7
CNC,Healthcare,C,9,0,0.00,9,1.00,0.00,0.00,0.0,0.508,86.4
CNH,Industrials,C,3,0,0.00,3,1.00,0.00,0.00,0.0,3.574,94.6
CNI,Industrials,C,14,0,0.00,14,1.00,0.00,0.00,0.0,0.575,78.6
CNK,Communication Services,C,11,0,0.00,11,1.00,0.00,0.00,0.0,0.472,84.1
CNM,Industrials,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.210,141.0
CNP,Utilities,C,21,0,0.00,21,1.00,0.00,0.00,0.0,1.018,79.4
CNQ,Energy,C,20,1,0.05,20,1.00,0.28,0.00,0.0,0.443,83.7
CNR,Energy,C,16,0,0.00,16,1.00,0.00,0.00,0.0,0.783,90.3
CNTA,Healthcare,C,4,0,0.00,4,1.00,0.00,0.00,0.0,0.396,76.2
CNX,Energy,C,24,0,0.00,24,1.00,0.00,0.00,0.0,0.968,83.0
COCO,Consumer Defensive,C,12,0,0.00,12,1.00,0.00,0.00,0.0,0.818,82.4
COGT,Healthcare,C,6,0,0.00,6,1.00,0.00,0.00,0.0,0.581,83.2
COHR,Technology,C,22,4,0.18,22,1.00,0.17,1.02,0.0,0.770,80.4
COKE,Consumer Defensive,C,2,0,0.00,2,1.00,0.00,0.00,0.0,1.092,100.2
COLB,Financial Services,C,3,0,0.00,3,1.00,0.00,0.00,0.0,0.594,76.3
COLM,Consumer Cyclical,C,1,0,0.00,1,1.00,0.00,0.00,0.0,0.784,76.5
COMM,Technology,C,10,0,0.00,10,1.00,0.00,0.00,0.0,3.263,84.4
CON,Healthcare,C,11,0,0.00,11,1.00,0.00,0.00,0.0,0.113,80.5
COO,Healthcare,C,4,0,0.00,4,1.00,0.00,0.00,0.0,5.880,78.8
COP,Energy,C,25,1,0.04,25,1.00,0.10,0.00,0.0,0.379,83.2
